distance_1,distance_10,distance_11,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,eta_1,eta_10,eta_11,eta_2,eta_3,eta_4,eta_5,eta_6,eta_7,eta_8,eta_9,plan_time,price_1,price_10,price_11,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,sessionID,system_recommended_mode
28788.0,28310.0,,,24421.0,24421.0,,,33441.0,,31884.0,6330.0,2636.0,,,1738.0,1798.0,,,3775.0,,3535.0,2018-10-04 17:51:44,300.0,3400.0,,,,6500.0,,,3000.0,,2800.0,274552,10
24710.0,,,,25328.0,25328.0,,,28390.0,,,6804.0,,,,4044.0,4224.0,,,5417.0,,,2018-11-07 08:52:28,600.0,,,,,9900.0,,,800.0,,,3239798,7
15667.0,,,,15942.0,15942.0,,,16440.0,15679.0,16076.0,5017.0,,,,2424.0,2544.0,,,4231.0,4103.0,3173.0,2018-11-03 09:10:11,400.0,,,,,4700.0,,,900.0,2300.0,500.0,1844306,7
2012.0,,,2562.0,1940.0,1940.0,1673.0,1900.0,,,,1774.0,,,1419.0,426.0,606.0,1532.0,574.0,,,,2018-11-22 10:02:38,200.0,,,300.0,,1300.0,,,,,,1239773,2
,,,,643.0,,339.0,438.0,,,,,,,,167.0,,289.0,129.0,,,,2018-11-25 10:34:01,,,,,,,,,,,,3244003,5
25168.0,,27457.0,29496.0,24600.0,24600.0,,,,,,4949.0,,4762.0,5951.0,2268.0,2508.0,,,,,,2018-10-03 18:44:58,600.0,,800.0,600.0,,6800.0,,,,,,1576077,11
,,,23906.0,23564.0,23564.0,,,,,21160.0,,,,4086.0,2846.0,3026.0,,,,,3906.0,2018-11-26 15:40:32,,,,500.0,,6200.0,,,,,500.0,850932,2
5920.0,,,,5894.0,5894.0,,5441.0,,,,2639.0,,,,688.0,928.0,,1644.0,,,,2018-10-24 12:19:00,200.0,,,,,1500.0,,,,,,943909,1
80351.0,,,,79729.0,79729.0,,,77508.0,,,11071.0,,,,6600.0,6900.0,,,9447.0,,,2018-11-25 09:55:30,1700.0,,,,,23600.0,,,1900.0,,,3257722,7
,,,,44670.0,44670.0,,,51844.0,,49569.0,,,,,5330.0,5450.0,,,8779.0,,6518.0,2018-11-16 16:43:04,,,,,,16400.0,,,2000.0,,700.0,3078360,3
,,,13596.0,14715.0,14715.0,,,,,,,,,2330.0,2418.0,2538.0,,,,,,2018-11-22 15:48:58,,,,500.0,,3800.0,,,,,,1237922,2
52579.0,47662.0,,,44927.0,44927.0,,,53528.0,,,8703.0,5305.0,,,3680.0,3680.0,,,6323.0,,,2018-10-07 11:37:16,3000.0,7400.0,,,,13900.0,,,3300.0,,,2492641,7
25198.0,26036.0,,24597.0,26965.0,26965.0,,,,,,8231.0,4243.0,,4241.0,5105.0,5225.0,,,,,,2018-10-29 17:50:46,600.0,3300.0,,600.0,,11700.0,,,,,,823595,2
,,,,56686.0,56686.0,,,71836.0,,,,,,,4787.0,4787.0,,,9642.0,,,2018-10-25 16:10:28,,,,,,18800.0,,,1300.0,,,2325831,7
,16200.0,,14693.0,17042.0,17042.0,,,,,,,2843.0,,2506.0,2472.0,2772.0,,,,,,2018-10-27 20:25:58,,1800.0,,500.0,,4300.0,,,,,,1478622,2
16753.0,,,25296.0,13164.0,13164.0,,,,,,5437.0,,,3841.0,1475.0,1775.0,,,,,,2018-11-10 13:42:13,400.0,,,600.0,,3800.0,,,,,,29683,2
10164.0,,,,6443.0,6443.0,,6495.0,7284.0,,12146.0,3523.0,,,,1027.0,1207.0,,1962.0,2747.0,,2343.0,2018-11-28 16:24:37,200.0,,,,,2100.0,,,500.0,,400.0,1553516,7
,,,8707.0,8389.0,8389.0,,8491.0,,,8707.0,,,,1996.0,1634.0,1874.0,,2569.0,,,1897.0,2018-10-21 14:42:30,,,,400.0,,3300.0,,,,,400.0,2686202,9
5279.0,,,,5138.0,5138.0,4060.0,5084.0,,,,2636.0,,,,1134.0,1314.0,3687.0,1539.0,,,,2018-11-23 18:50:04,200.0,,,,,2300.0,,,,,,537922,1
,12758.0,,11312.0,11135.0,11135.0,,9092.0,11856.0,,11052.0,,2566.0,,3035.0,2214.0,2394.0,,2745.0,3355.0,,2565.0,2018-11-11 18:34:52,,1700.0,,400.0,,3500.0,,,600.0,,400.0,574087,9
,,,11896.0,9830.0,9830.0,,9434.0,,,11896.0,,,,2411.0,2667.0,2967.0,,2851.0,,,2093.0,2018-10-30 10:29:01,,,,400.0,,3400.0,,,,,400.0,2796680,9
